"name";"lat";"lon";"kanton"
"Schulh";46.46667;7.33333;"BE"
"Schuders";46.99168;9.73755;"GR"
"Schübelbach";47.17326;8.92811;"SZ"
"Schrickmatten";46.48333;7.6;"BE"
"Schrättern";46.64529;8.21103;"BE"
"Schötz";47.16896;7.9887;"LU"
"Schönried";46.50388;7.28884;"BE"
"Schönholzerswilen";47.51702;9.14089;"TG"
"Schongau";47.26851;8.26511;"LU"
"Schönenwerd";47.3691;8.00167;"SO"
"Schönengrund";47.32586;9.2269;"AR"
"Schönenbuch";47.53853;7.50572;"BL"
"Schönenberg an der Thur";47.52139;9.1986;"TG"
"Schönenberg";47.19182;8.64494;"ZH"
"Schöneck";46.95911;8.50885;"NW"
"Schönbühl";47.02088;7.49989;"BE"
"Schöftland";47.3059;8.05119;"AG"
"Schnottwil";47.11173;7.39368;"SO"
"Schmitten";46.8575;7.25031;"FR"
"Schmitten";46.68686;9.67317;"GR"
"Schmerikon";47.22538;8.94836;"SG"
"Schmelzboden";46.71354;9.75853;"GR"
"Schluocht";46.82941;9.5526;"GR"
"Schlossrued";47.29155;8.08809;"AG"
"Schlieren";47.39668;8.44763;"ZH"
"Schleuis";46.78819;9.22603;"GR"
"Schleitheim";47.74818;8.48213;"SH"
"Tschlin";46.86975;10.42546;"GR"
"Schlattingen";47.66562;8.76984;"TG"
"Schlatt";47.66134;8.70332;"TG"
"Schlatt";47.35673;9.39589;"AI"
"Schinznach Dorf";47.4465;8.14089;"AG"
"Schinznach Bad";47.44992;8.16833;"AG"
"Schindellegi";47.1746;8.71345;"SZ"
"Schimbergbad";46.93333;8.1;"LU"
"Schiers";46.96973;9.6872;"GR"
"Scherzingen";47.63122;9.22476;"TG"
